Timestamp,Fake_USD,Fake_BTC,Net_Worth
04:15:07,27317.29,1.0,101622.27
04:15:13,27317.29,1.0,101637.69
04:15:18,101599.78,0.0,101599.78
04:15:24,101599.78,0.0,101599.78
04:15:29,101599.78,0.0,101599.78
04:15:34,101599.78,0.0,101599.78
04:15:39,101599.78,0.0,101599.78
04:15:44,101599.78,0.0,101599.78
04:15:49,101599.78,0.0,101599.78
04:15:55,101599.78,0.0,101599.78
04:16:00,101599.78,0.0,101599.78
04:16:05,101599.78,0.0,101599.78
04:16:10,101599.78,0.0,101599.78
04:16:15,101599.78,0.0,101599.78
04:16:21,101599.78,0.0,101599.78
04:16:26,27378.72,1.0,101596.82
04:16:31,27378.72,1.0,101613.73
04:16:37,27378.72,1.0,101632.62
04:16:42,27378.72,1.0,101640.78
04:16:48,27378.72,1.0,101640.59
04:16:53,27378.72,1.0,101637.95
04:16:58,27378.72,1.0,101627.32
04:17:03,101627.4,0.0,101627.4
04:17:08,101627.4,0.0,101627.4
04:17:13,101627.4,0.0,101627.4
04:17:19,101627.4,0.0,101627.4
04:17:25,101627.4,0.0,101627.4
04:17:30,27371.86,1.0,101635.86
04:17:35,27371.86,1.0,101625.77
04:17:40,27371.86,1.0,101636.4
04:17:45,27371.86,1.0,101680.19
04:17:51,27371.86,1.0,101662.88
04:17:56,101636.51,0.0,101636.51
04:18:01,101636.51,0.0,101636.51
04:18:06,101636.51,0.0,101636.51
04:18:11,101636.51,0.0,101636.51
04:18:16,27360.01,1.0,101647.93
04:18:22,27360.01,1.0,101645.83
04:18:27,27360.01,1.0,101637.85
04:18:32,101625.74,0.0,101625.74
04:18:37,101625.74,0.0,101625.74
04:18:43,27323.03,1.0,101636.75
04:18:48,27323.03,1.0,101691.03
04:18:53,27323.03,1.0,101698.05
04:18:59,27323.03,1.0,101679.04
04:19:04,27323.03,1.0,101681.82
04:19:09,27323.03,1.0,101721.0
04:19:14,27323.03,1.0,101717.89
04:19:19,27323.03,1.0,101763.03
04:19:25,27323.03,1.0,101752.52
04:19:30,27323.03,1.0,101795.62
04:19:35,27323.03,1.0,101805.05
04:19:40,27323.03,1.0,101771.57
04:19:45,101757.13,0.0,101757.13
04:19:50,101757.13,0.0,101757.13
04:19:55,101757.13,0.0,101757.13
04:20:00,101757.13,0.0,101757.13
04:20:06,101757.13,0.0,101757.13
04:20:11,101757.13,0.0,101757.13
04:20:16,27375.08,1.0,101773.23
04:20:21,27375.08,1.0,101775.29
04:20:26,27375.08,1.0,101777.09
04:20:32,27375.08,1.0,101767.37
04:20:38,27375.08,1.0,101769.94
04:20:43,27375.08,1.0,101777.95
04:20:48,27375.08,1.0,101768.9
04:20:55,27375.08,1.0,101785.92
04:21:01,27375.08,1.0,101783.26
04:21:06,101769.78,0.0,101769.78
04:21:11,101769.78,0.0,101769.78
04:21:16,101769.78,0.0,101769.78
04:21:21,101769.78,0.0,101769.78
04:21:26,101769.78,0.0,101769.78
04:21:32,101769.78,0.0,101769.78
04:21:37,101769.78,0.0,101769.78
04:21:42,101769.78,0.0,101769.78
04:21:47,27423.35,1.0,101806.72
04:21:52,27423.35,1.0,101816.86
04:21:58,27423.35,1.0,101807.35
04:22:03,27423.35,1.0,101818.49
04:22:08,27423.35,1.0,101818.45
04:22:13,27423.35,1.0,101823.6
04:22:18,27423.35,1.0,101834.4
04:22:25,27423.35,1.0,101831.54
